,geography,category,data_type,unit,currency_conversion,current_constant,year_nk,value
56,Kosovo,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,5459.9
57,Latvia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,16940.6
58,Lithuania,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,27132.4
59,Moldova,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,6954.6
60,Montenegro,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,3357.3
61,North Macedonia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,7148.3
62,Poland,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,276926.6
63,Romania,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,117670.4
64,Russia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,679131.8
65,Serbia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,28790.1
66,Slovakia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,49377.5
67,Slovenia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,24157.1
68,Ukraine,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,62145.6
69,Anguilla,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,267.0
70,Antigua and Barbuda,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,915.6
71,Argentina,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,365879.7
72,Aruba,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1627.2
73,Bahamas,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,7652.1
74,Barbados,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,3765.5
75,Belize,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1344.1
76,Bermuda,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,3368.4
77,Bolivia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,23388.6
78,Brazil,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1153596.7
79,British Virgin Islands,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,487.9
80,Cayman Islands,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,2761.8
81,Chile,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,158820.5
82,Colombia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,195318.0
83,Costa Rica,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,37697.8
84,Cuba,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,51029.0
85,Curacao,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,2071.8
86,Dominica,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,450.8
87,Dominican Republic,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,53417.1
88,Ecuador,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,59889.7
89,El Salvador,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,20228.4
90,French Guiana,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,2557.4
91,Grenada,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,724.7
92,Guadeloupe,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,5314.7
93,Guatemala,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,55839.7
94,Guyana,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,2832.3
95,Haiti,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,12908.5
96,Honduras,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,16584.0
97,Jamaica,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,10937.9
98,Martinique,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,5728.3
99,Mexico,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,705621.0
100,Nicaragua,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,9351.9
101,Panama,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,30107.3
102,Paraguay,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,22479.2
103,Peru,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,128454.6
104,Puerto Rico,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,60979.4
105,Sint Maarten,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,696.2
106,St Kitts and Nevis,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,676.7
107,St Lucia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1364.1
108,St Vincent and the Grenadines,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,630.2
109,Suriname,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1887.3
110,Trinidad and Tobago,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,14702.4
111,Uruguay,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,35104.5
112,US Virgin Islands,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,2582.0
113,Venezuela,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,51578.3
114,Algeria,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,68027.8
115,Angola,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,56655.4
116,Bahrain,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,14544.4
117,Benin,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,8648.6
118,Botswana,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,6138.4
119,Burkina Faso,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,8817.1
120,Burundi,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,2513.4
121,Cabo Verde,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1050.7
122,Cameroon,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,24061.2
123,Central African Republic,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1532.1
124,Chad,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,7722.2
125,Comoros,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,937.5
126,"Congo, Democratic Republic",Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,32037.3
127,Congo-Brazzaville,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,4490.5
128,Côte d'Ivoire,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,31958.9
129,Djibouti,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1599.4
130,Egypt,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,225247.5
131,Equatorial Guinea,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,5363.2
132,Eritrea,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1602.5
133,Eswatini,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,2405.4
134,Ethiopia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,47960.9
135,Gabon,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,5666.8
136,Gambia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1158.9
137,Ghana,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,40377.7
138,Guinea,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,7187.9
139,Guinea-Bissau,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1023.1
140,Iran,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,210243.8
141,Iraq,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,99954.7
142,Israel,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,175137.6
143,Jordan,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,31667.1
144,Kenya,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,57164.0
145,Kuwait,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,49478.2
146,Lebanon,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,45540.6
147,Lesotho,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1631.6
148,Liberia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1701.0
149,Libya,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,24823.5
150,Madagascar,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,8474.4
151,Malawi,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,6290.7
152,Mali,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,11375.3
153,Mauritania,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,3876.7
154,Mauritius,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,8998.1
155,Morocco,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,59803.9
156,Mozambique,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,7828.6
157,Namibia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,8033.5
158,Niger,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,7203.9
159,Nigeria,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,328936.0
160,Oman,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,27116.4
161,Qatar,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,39006.0
162,Réunion,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,12997.3
163,Rwanda,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,6732.3
164,Sao Tomé e Príncipe,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,275.2
165,Saudi Arabia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,276121.8
166,Senegal,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,13620.9
167,Seychelles,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,796.8
168,Sierra Leone,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,3819.2
169,Somalia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,7563.0
170,South Africa,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,204757.0
171,South Sudan,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,4897.5
172,Sudan,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,81433.2
173,Syria,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,7937.6
174,Tanzania,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,29675.1
175,Togo,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,4692.0
176,Tunisia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,30036.0
177,Uganda,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,21765.0
178,United Arab Emirates,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,129233.9
179,Yemen,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,22315.9
180,Zambia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,10772.7
181,Zimbabwe,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,17126.6
182,Canada,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,893782.5
183,USA,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,12693265.5
184,Andorra,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1684.7
185,Austria,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,206731.6
186,Belgium,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,244014.9
187,Cyprus,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,13739.6
188,Denmark,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,146128.4
189,Finland,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,130726.1
190,France,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1340999.9
191,Germany,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1829260.8
192,Greece,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,131241.5
193,Iceland,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,10245.1
194,Ireland,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,100836.6
195,Italy,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1127808.7
196,Liechtenstein,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,3259.2
197,Luxembourg,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,20290.0
198,Malta,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,5640.3
199,Monaco,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,3510.0
200,Netherlands,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,349589.3
201,Norway,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,167998.4
202,Portugal,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,134977.5
203,Spain,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,717079.4
204,Sweden,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,236554.8
205,Switzerland,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,363477.3
206,Turkey,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,515718.3
207,United Kingdom,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1765088.5
208,Afghanistan,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,13913.0
209,American Samoa,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,471.0
210,Armenia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,9225.4
211,Azerbaijan,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,23520.4
212,Bangladesh,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,168688.6
213,Bhutan,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,1281.2
214,Brunei Darussalam,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,2483.3
215,Cambodia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,16298.4
216,China,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,4744656.3
217,Fiji,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,3256.6
218,French Polynesia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,3756.0
219,Guam,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,3549.0
220,"Hong Kong, China",Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,228934.4
221,India,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,1541144.7
222,Indonesia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,581701.5
223,Japan,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,2692786.5
224,Kazakhstan,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,87722.7
225,Kiribati,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,168.9
226,Kyrgyzstan,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,6322.5
227,Laos,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,11128.8
228,"Macau, China",Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,12401.6
229,Malaysia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,176732.9
230,Maldives,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,2236.6
231,Mongolia,Private Final Consumption Expenditure,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,6116.2
