country_sk,metric,year_nk,value
Costa Rica,Total Population,2016,4886.8
Cuba,Total Population,2016,11335.1
Curacao,Total Population,2016,161.1
Dominica,Total Population,2016,71.3
Dominican Republic,Total Population,2016,10397.7
Ecuador,Total Population,2016,16364.8
El Salvador,Total Population,2016,6356.1
French Guiana,Total Population,2016,267.8
Grenada,Total Population,2016,110.3
Guadeloupe,Total Population,2016,399.8
Guatemala,Total Population,2016,16123.0
Guyana,Total Population,2016,771.4
Haiti,Total Population,2016,10840.0
Honduras,Total Population,2016,9270.8
Jamaica,Total Population,2016,2906.2
Martinique,Total Population,2016,376.8
Mexico,Total Population,2016,122273.5
Nicaragua,Total Population,2016,6304.0
Panama,Total Population,2016,4037.1
Paraguay,Total Population,2016,6777.9
Peru,Total Population,2016,30926.0
Puerto Rico,Total Population,2016,3283.1
Sint Maarten,Total Population,2016,40.8
St Kitts and Nevis,Total Population,2016,51.6
St Lucia,Total Population,2016,180.0
St Vincent and the Grenadines,Total Population,2016,109.5
Suriname,Total Population,2016,564.9
Trinidad and Tobago,Total Population,2016,1377.6
Uruguay,Total Population,2016,3422.6
US Virgin Islands,Total Population,2016,104.8
Venezuela,Total Population,2016,29851.2
Algeria,Total Population,2016,40551.4
Angola,Total Population,2016,28842.5
Bahrain,Total Population,2016,1423.7
Benin,Total Population,2016,10872.1
Botswana,Total Population,2016,2159.9
Burkina Faso,Total Population,2016,18646.4
Burundi,Total Population,2016,10488.0
Cabo Verde,Total Population,2016,531.1
Cameroon,Total Population,2016,23926.5
Central African Republic,Total Population,2016,4537.7
Chad,Total Population,2016,14561.7
Comoros,Total Population,2016,795.6
"Congo, Democratic Republic",Total Population,2016,78789.1
Congo-Brazzaville,Total Population,2016,4981.0
Côte d'Ivoire,Total Population,2016,23822.7
Djibouti,Total Population,2016,929.1
Egypt,Total Population,2016,91853.2
Equatorial Guinea,Total Population,2016,1215.2
Eritrea,Total Population,2016,3376.6
Eswatini,Total Population,2016,1114.0
Ethiopia,Total Population,2016,103603.5
Gabon,Total Population,2016,2007.9
Gambia,Total Population,2016,2149.1
Ghana,Total Population,2016,28481.9
Guinea,Total Population,2016,11738.4
Guinea-Bissau,Total Population,2016,1782.4
Iran,Total Population,2016,79710.4
Iraq,Total Population,2016,36610.6
Israel,Total Population,2016,8546.0
Jordan,Total Population,2016,9455.8
Kenya,Total Population,2016,49051.5
Kuwait,Total Population,2016,3925.5
Lebanon,Total Population,2016,6714.3
Lesotho,Total Population,2016,2075.0
Liberia,Total Population,2016,4586.8
Libya,Total Population,2016,6492.2
Madagascar,Total Population,2016,24894.4
Malawi,Total Population,2016,17205.3
Mali,Total Population,2016,17965.4
Mauritania,Total Population,2016,4163.5
Mauritius,Total Population,2016,1261.9
Morocco,Total Population,2016,35126.3
Mozambique,Total Population,2016,27829.9
Namibia,Total Population,2016,2358.0
Niger,Total Population,2016,20788.8
Nigeria,Total Population,2016,185960.2
Oman,Total Population,2016,4414.1
Qatar,Total Population,2016,2617.6
Réunion,Total Population,2016,869.7
Rwanda,Total Population,2016,11668.8
Sao Tomé e Príncipe,Total Population,2016,203.2
Saudi Arabia,Total Population,2016,32443.4
Senegal,Total Population,2016,14993.5
Seychelles,Total Population,2016,95.7
Sierra Leone,Total Population,2016,7328.8
Somalia,Total Population,2016,14185.6
South Africa,Total Population,2016,56207.6
South Sudan,Total Population,2016,10832.5
Sudan,Total Population,2016,39847.4
Syria,Total Population,2016,17465.6
Tanzania,Total Population,2016,53049.2
Togo,Total Population,2016,7510.0
Tunisia,Total Population,2016,11303.9
Uganda,Total Population,2016,39649.2
United Arab Emirates,Total Population,2016,9121.2
Yemen,Total Population,2016,27168.2
Zambia,Total Population,2016,16363.4
Zimbabwe,Total Population,2016,14030.3
Canada,Total Population,2016,36109.5
USA,Total Population,2016,324349.2
Andorra,Total Population,2016,77.3
Austria,Total Population,2016,8700.5
Belgium,Total Population,2016,11267.9
Cyprus,Total Population,2016,1170.2
Denmark,Total Population,2016,5707.3
Finland,Total Population,2016,5487.3
France,Total Population,2016,64468.8
Germany,Total Population,2016,82175.7
Gibraltar,Total Population,2016,33.7
Greece,Total Population,2016,10783.7
Iceland,Total Population,2016,332.2
Ireland,Total Population,2016,4726.3
Italy,Total Population,2016,60163.7
Liechtenstein,Total Population,2016,37.6
Luxembourg,Total Population,2016,579.3
Malta,Total Population,2016,436.1
Monaco,Total Population,2016,38.1
Netherlands,Total Population,2016,16979.1
Norway,Total Population,2016,5214.0
Portugal,Total Population,2016,10341.3
Spain,Total Population,2016,46440.1
Sweden,Total Population,2016,9851.0
Switzerland,Total Population,2016,8327.1
Turkey,Total Population,2016,78741.1
United Kingdom,Total Population,2016,65379.0
Afghanistan,Total Population,2017,36296.1
American Samoa,Total Population,2017,55.6
Armenia,Total Population,2017,2944.8
Azerbaijan,Total Population,2017,9810.0
Bangladesh,Total Population,2017,159685.4
Bhutan,Total Population,2017,745.6
Brunei Darussalam,Total Population,2017,424.5
Cambodia,Total Population,2017,16009.4
China,Total Population,2017,1382710.0
Fiji,Total Population,2017,877.5
French Polynesia,Total Population,2017,276.1
Guam,Total Population,2017,164.3
"Hong Kong, China",Total Population,2017,7391.7
India,Total Population,2017,1299686.2
Indonesia,Total Population,2017,264651.0
Japan,Total Population,2017,126706.0
Kazakhstan,Total Population,2017,17918.2
Kiribati,Total Population,2017,114.2
Kyrgyzstan,Total Population,2017,6189.7
Laos,Total Population,2017,6953.0
"Macau, China",Total Population,2017,622.6
Malaysia,Total Population,2017,32022.6
Maldives,Total Population,2017,496.4
Mongolia,Total Population,2017,3113.8
Myanmar,Total Population,2017,53382.5
Nauru,Total Population,2017,10.6
Nepal,Total Population,2017,27632.7
New Caledonia,Total Population,2017,277.2
North Korea,Total Population,2017,25429.8
Pakistan,Total Population,2017,207906.2
Papua New Guinea,Total Population,2017,8438.0
Philippines,Total Population,2017,105172.9
Samoa,Total Population,2017,195.4
Singapore,Total Population,2017,5612.3
Solomon Islands,Total Population,2017,636.0
South Korea,Total Population,2017,51446.2
Sri Lanka,Total Population,2017,21128.0
Taiwan,Total Population,2017,23539.8
Tajikistan,Total Population,2017,8880.3
Thailand,Total Population,2017,69209.8
Tonga,Total Population,2017,102.0
Turkmenistan,Total Population,2017,5757.7
Tuvalu,Total Population,2017,11.4
Uzbekistan,Total Population,2017,31959.8
Vanuatu,Total Population,2017,285.5
Vietnam,Total Population,2017,94286.0
Australia,Total Population,2017,24601.9
New Zealand,Total Population,2017,4767.6
Albania,Total Population,2017,2884.2
Belarus,Total Population,2017,9469.7
Bosnia and Herzegovina,Total Population,2017,3509.7
Bulgaria,Total Population,2017,7101.9
Croatia,Total Population,2017,4154.2
Czech Republic,Total Population,2017,10578.8
Estonia,Total Population,2017,1315.6
Georgia,Total Population,2017,3726.4
Hungary,Total Population,2017,9797.6
Kosovo,Total Population,2017,1783.5
Latvia,Total Population,2017,1950.1
Lithuania,Total Population,2017,2847.9
Moldova,Total Population,2017,4059.7
Montenegro,Total Population,2017,627.6
North Macedonia,Total Population,2017,2073.7
Poland,Total Population,2017,38433.0
Romania,Total Population,2017,19643.9
Russia,Total Population,2017,144463.5
Serbia,Total Population,2017,7040.3
Slovakia,Total Population,2017,5435.3
Slovenia,Total Population,2017,2065.9
Ukraine,Total Population,2017,42414.9
Anguilla,Total Population,2017,14.6
Antigua and Barbuda,Total Population,2017,95.4
Argentina,Total Population,2017,43858.8
Aruba,Total Population,2017,105.4
Bahamas,Total Population,2017,381.7
Barbados,Total Population,2017,286.2
Belize,Total Population,2017,375.8
Bermuda,Total Population,2017,63.0
Bolivia,Total Population,2017,11192.9
Brazil,Total Population,2017,207660.9
British Virgin Islands,Total Population,2017,29.6
Cayman Islands,Total Population,2017,63.4
Chile,Total Population,2017,18470.4
Colombia,Total Population,2017,48909.8
Costa Rica,Total Population,2017,4940.4
Cuba,Total Population,2017,11339.3
Curacao,Total Population,2017,162.0
Dominica,Total Population,2017,71.5
Dominican Republic,Total Population,2017,10513.1
Ecuador,Total Population,2017,16604.9
El Salvador,Total Population,2017,6388.1
French Guiana,Total Population,2017,275.2
Grenada,Total Population,2017,110.9
Guadeloupe,Total Population,2017,399.7
Guatemala,Total Population,2017,16418.1
Guyana,Total Population,2017,775.2
Haiti,Total Population,2017,10982.4
Honduras,Total Population,2017,9429.0
Jamaica,Total Population,2017,2920.8
Martinique,Total Population,2017,375.9
Mexico,Total Population,2017,123518.3
Nicaragua,Total Population,2017,6384.8
Panama,Total Population,2017,4106.8
Paraguay,Total Population,2017,6867.1
Peru,Total Population,2017,31444.3
Puerto Rico,Total Population,2017,3163.7
Sint Maarten,Total Population,2017,41.4
St Kitts and Nevis,Total Population,2017,52.0
St Lucia,Total Population,2017,181.0
St Vincent and the Grenadines,Total Population,2017,109.8
Suriname,Total Population,2017,570.5
Trinidad and Tobago,Total Population,2017,1384.1
Uruguay,Total Population,2017,3430.7
US Virgin Islands,Total Population,2017,104.7
Venezuela,Total Population,2017,29402.5
Algeria,Total Population,2017,41389.2
Angola,Total Population,2017,29816.8
Bahrain,Total Population,2017,1501.1
Benin,Total Population,2017,11175.2
Botswana,Total Population,2017,2205.1
Burkina Faso,Total Population,2017,19193.2
Burundi,Total Population,2017,10827.0
Cabo Verde,Total Population,2017,537.5
Cameroon,Total Population,2017,24566.1
Central African Republic,Total Population,2017,4596.0
Chad,Total Population,2017,15016.8
Comoros,Total Population,2017,813.9
"Congo, Democratic Republic",Total Population,2017,81398.8
Congo-Brazzaville,Total Population,2017,5110.7
Côte d'Ivoire,Total Population,2017,24437.5
Djibouti,Total Population,2017,944.1
Egypt,Total Population,2017,94143.0
Equatorial Guinea,Total Population,2017,1262.0
Eritrea,Total Population,2017,3412.9
Eswatini,Total Population,2017,1124.8
Ethiopia,Total Population,2017,106399.9
Gabon,Total Population,2017,2064.8
Gambia,Total Population,2017,2213.9
Ghana,Total Population,2017,29121.5
Guinea,Total Population,2017,12067.5
Guinea-Bissau,Total Population,2017,1828.1
Iran,Total Population,2017,80793.7
Iraq,Total Population,2017,37552.8
Israel,Total Population,2017,8713.3
Jordan,Total Population,2017,9702.4
Kenya,Total Population,2017,50221.1
Kuwait,Total Population,2017,4082.7
Lebanon,Total Population,2017,6819.4
Lesotho,Total Population,2017,2091.5
Liberia,Total Population,2017,4702.2
Libya,Total Population,2017,6580.7
Madagascar,Total Population,2017,25570.5
Malawi,Total Population,2017,17670.2
Mali,Total Population,2017,18512.4
Mauritania,Total Population,2017,4282.6
Mauritius,Total Population,2017,1264.5
Morocco,Total Population,2017,35581.3
Mozambique,Total Population,2017,28649.0
Namibia,Total Population,2017,2402.6
Niger,Total Population,2017,21602.4
Nigeria,Total Population,2017,190873.2
Oman,Total Population,2017,4560.0
Qatar,Total Population,2017,2724.6
Réunion,Total Population,2017,876.1
Rwanda,Total Population,2017,11981.0
Sao Tomé e Príncipe,Total Population,2017,207.1
Saudi Arabia,Total Population,2017,33101.2
Senegal,Total Population,2017,15419.4
Seychelles,Total Population,2017,96.4
Sierra Leone,Total Population,2017,7488.4
Somalia,Total Population,2017,14589.2
South Africa,Total Population,2017,57009.8
South Sudan,Total Population,2017,10910.8
Sudan,Total Population,2017,40813.4
Syria,Total Population,2017,17095.7
Tanzania,Total Population,2017,54660.3
Togo,Total Population,2017,7698.5
Tunisia,Total Population,2017,11433.4
Uganda,Total Population,2017,41166.6
United Arab Emirates,Total Population,2017,9304.3
Yemen,Total Population,2017,27834.8
Zambia,Total Population,2017,16853.6
Zimbabwe,Total Population,2017,14236.6
Canada,Total Population,2017,36545.3
USA,Total Population,2017,326570.9
Andorra,Total Population,2017,77.0
Austria,Total Population,2017,8772.9
Belgium,Total Population,2017,11322.1
Cyprus,Total Population,2017,1179.7
Denmark,Total Population,2017,5748.8
Finland,Total Population,2017,5503.3
France,Total Population,2017,64639.1
Germany,Total Population,2017,82521.7
Gibraltar,Total Population,2017,33.7
Greece,Total Population,2017,10768.2
Iceland,Total Population,2017,334.4
Ireland,Total Population,2017,4784.4
Italy,Total Population,2017,60066.7
Liechtenstein,Total Population,2017,37.8
Luxembourg,Total Population,2017,591.9
Malta,Total Population,2017,437.9
Monaco,Total Population,2017,38.4
Netherlands,Total Population,2017,17081.5
Norway,Total Population,2017,5258.3
Portugal,Total Population,2017,10309.6
Spain,Total Population,2017,46527.0
Sweden,Total Population,2017,9995.2
Switzerland,Total Population,2017,8419.6
Turkey,Total Population,2017,79814.9
United Kingdom,Total Population,2017,65844.1
Afghanistan,Total Population,2018,37171.9
American Samoa,Total Population,2018,55.5
Armenia,Total Population,2018,2951.7
Azerbaijan,Total Population,2018,9898.1
Bangladesh,Total Population,2018,161376.7
Bhutan,Total Population,2018,754.4
Brunei Darussalam,Total Population,2018,429.0
Cambodia,Total Population,2018,16249.8
China,Total Population,2018,1390775.0
Fiji,Total Population,2018,883.5
French Polynesia,Total Population,2018,277.7
Guam,Total Population,2018,165.8
"Hong Kong, China",Total Population,2018,7451.0
India,Total Population,2018,1313244.9
Indonesia,Total Population,2018,267670.5
Japan,Total Population,2018,126443.0
Kazakhstan,Total Population,2018,18157.3
Kiribati,Total Population,2018,115.8
Kyrgyzstan,Total Population,2018,6304.0
Laos,Total Population,2018,7061.5
"Macau, China",Total Population,2018,631.6
Malaysia,Total Population,2018,32382.3
Maldives,Total Population,2018,515.7
Mongolia,Total Population,2018,3170.2
Myanmar,Total Population,2018,53708.3
Nauru,Total Population,2018,10.7
Nepal,Total Population,2018,28095.7
New Caledonia,Total Population,2018,280.0
North Korea,Total Population,2018,25549.6
Pakistan,Total Population,2018,212228.3
Papua New Guinea,Total Population,2018,8606.3
Philippines,Total Population,2018,106651.4
Samoa,Total Population,2018,196.1
Singapore,Total Population,2018,5638.7
Solomon Islands,Total Population,2018,652.9
South Korea,Total Population,2018,51606.6
Sri Lanka,Total Population,2018,21228.8
Taiwan,Total Population,2018,23571.2
Tajikistan,Total Population,2018,9100.8
Thailand,Total Population,2018,69428.5
Tonga,Total Population,2018,103.2
Turkmenistan,Total Population,2018,5850.9
Tuvalu,Total Population,2018,11.5
Uzbekistan,Total Population,2018,32476.2
Vanuatu,Total Population,2018,292.7
Vietnam,Total Population,2018,95385.2
Australia,Total Population,2018,24982.7
New Zealand,Total Population,2018,4859.5
Albania,Total Population,2018,2882.7
Belarus,Total Population,2018,9448.3
Bosnia and Herzegovina,Total Population,2018,3500.3
Bulgaria,Total Population,2018,7050.0
Croatia,Total Population,2018,4105.5
Czech Republic,Total Population,2018,10610.1
Estonia,Total Population,2018,1319.1
Georgia,Total Population,2018,3729.6
Hungary,Total Population,2018,9778.4
Kosovo,Total Population,2018,1798.5
Latvia,Total Population,2018,1934.4
Lithuania,Total Population,2018,2808.9
Moldova,Total Population,2018,4052.0
Montenegro,Total Population,2018,627.8
North Macedonia,Total Population,2018,2075.3
Poland,Total Population,2018,38433.6
Romania,Total Population,2018,19533.5
Russia,Total Population,2018,144530.0
Serbia,Total Population,2018,7001.4
Slovakia,Total Population,2018,5443.1
Slovenia,Total Population,2018,2066.9
Ukraine,Total Population,2018,42216.8
Anguilla,Total Population,2018,14.7
Antigua and Barbuda,Total Population,2018,96.3
Argentina,Total Population,2018,44219.3
Aruba,Total Population,2018,105.8
Bahamas,Total Population,2018,385.6
Barbados,Total Population,2018,286.6
Belize,Total Population,2018,383.1
Bermuda,Total Population,2018,62.8
Bolivia,Total Population,2018,11353.1
Brazil,Total Population,2018,208494.9
British Virgin Islands,Total Population,2018,29.8
Cayman Islands,Total Population,2018,64.2
Chile,Total Population,2018,18729.2
Colombia,Total Population,2018,49661.1
Costa Rica,Total Population,2018,4992.4
Cuba,Total Population,2018,11338.1
Curacao,Total Population,2018,162.8
Dominica,Total Population,2018,71.6
Dominican Republic,Total Population,2018,10627.1
Ecuador,Total Population,2018,16856.8
El Salvador,Total Population,2018,6420.7
French Guiana,Total Population,2018,282.9
Grenada,Total Population,2018,111.4
Guadeloupe,Total Population,2018,399.8
Guatemala,Total Population,2018,16709.3
Guyana,Total Population,2018,779.0
Haiti,Total Population,2018,11123.2
Honduras,Total Population,2018,9587.5
Jamaica,Total Population,2018,2934.9
Martinique,Total Population,2018,375.7
Mexico,Total Population,2018,124704.6
Nicaragua,Total Population,2018,6465.5
Panama,Total Population,2018,4176.9
Paraguay,Total Population,2018,6956.1
Peru,Total Population,2018,31989.3
Puerto Rico,Total Population,2018,3039.6
Sint Maarten,Total Population,2018,41.9
St Kitts and Nevis,Total Population,2018,52.4
St Lucia,Total Population,2018,181.9
St Vincent and the Grenadines,Total Population,2018,110.2
Suriname,Total Population,2018,576.0
Trinidad and Tobago,Total Population,2018,1389.8
Uruguay,Total Population,2018,3435.9
US Virgin Islands,Total Population,2018,104.7
Venezuela,Total Population,2018,28887.1
Algeria,Total Population,2018,42228.4
Angola,Total Population,2018,30809.8
Bahrain,Total Population,2018,1503.1
Benin,Total Population,2018,11485.0
Botswana,Total Population,2018,2254.1
Burkina Faso,Total Population,2018,19751.5
Burundi,Total Population,2018,11175.4
Cabo Verde,Total Population,2018,543.8
Cameroon,Total Population,2018,25216.3
Central African Republic,Total Population,2018,4666.4
Chad,Total Population,2018,15477.7
Comoros,Total Population,2018,832.3
"Congo, Democratic Republic",Total Population,2018,84068.1
Congo-Brazzaville,Total Population,2018,5244.4
Côte d'Ivoire,Total Population,2018,25069.2
Djibouti,Total Population,2018,958.9
Egypt,Total Population,2018,96278.5
Equatorial Guinea,Total Population,2018,1309.0
Eritrea,Total Population,2018,3452.8
Eswatini,Total Population,2018,1136.3
Ethiopia,Total Population,2018,109224.4
Gabon,Total Population,2018,2119.3
Gambia,Total Population,2018,2280.1
Ghana,Total Population,2018,29767.1
Guinea,Total Population,2018,12414.3
Guinea-Bissau,Total Population,2018,1874.3
Iran,Total Population,2018,81804.7
Iraq,Total Population,2018,38433.6
Israel,Total Population,2018,8882.8
Jordan,Total Population,2018,9903.8
Kenya,Total Population,2018,51392.6
Kuwait,Total Population,2018,4226.9
Lebanon,Total Population,2018,6859.4
Lesotho,Total Population,2018,2108.3
Liberia,Total Population,2018,4819.0
Libya,Total Population,2018,6678.6
Madagascar,Total Population,2018,26262.3
Malawi,Total Population,2018,18143.2
Mali,Total Population,2018,19077.8
Mauritania,Total Population,2018,4403.3
Mauritius,Total Population,2018,1267.2
Morocco,Total Population,2018,36029.1
Mozambique,Total Population,2018,29496.0
Namibia,Total Population,2018,2448.3
Niger,Total Population,2018,22442.8
Nigeria,Total Population,2018,195874.7
Oman,Total Population,2018,4601.7
Qatar,Total Population,2018,2760.2
Réunion,Total Population,2018,882.5
Rwanda,Total Population,2018,12302.0
Sao Tomé e Príncipe,Total Population,2018,211.0
Saudi Arabia,Total Population,2018,33702.8
Senegal,Total Population,2018,15854.3
Seychelles,Total Population,2018,97.1
Sierra Leone,Total Population,2018,7650.1
Somalia,Total Population,2018,15008.2
South Africa,Total Population,2018,57792.5
South Sudan,Total Population,2018,10975.9
Sudan,Total Population,2018,41801.5
Syria,Total Population,2018,16945.1
Tanzania,Total Population,2018,56313.4
Togo,Total Population,2018,7889.1
Tunisia,Total Population,2018,11564.1
Uganda,Total Population,2018,42729.0
United Arab Emirates,Total Population,2018,9366.8
Yemen,Total Population,2018,28498.7
Zambia,Total Population,2018,17351.7
Zimbabwe,Total Population,2018,14438.8
Canada,Total Population,2018,37065.2
USA,Total Population,2018,328458.9
Andorra,Total Population,2018,77.0
Austria,Total Population,2018,8822.3
Belgium,Total Population,2018,11376.1
Cyprus,Total Population,2018,1189.3
Denmark,Total Population,2018,5781.2
Finland,Total Population,2018,5513.1
France,Total Population,2018,64844.0
Germany,Total Population,2018,82792.4
Gibraltar,Total Population,2018,33.7
Greece,Total Population,2018,10741.2
Iceland,Total Population,2018,336.7
Ireland,Total Population,2018,4830.4
Italy,Total Population,2018,59937.8
Liechtenstein,Total Population,2018,38.1
Luxembourg,Total Population,2018,604.2
Malta,Total Population,2018,439.3
Monaco,Total Population,2018,38.7
Netherlands,Total Population,2018,17181.1
Norway,Total Population,2018,5295.6
Portugal,Total Population,2018,10291.0
Spain,Total Population,2018,46658.4
Sweden,Total Population,2018,10120.2
Switzerland,Total Population,2018,8484.1
Turkey,Total Population,2018,80810.5
United Kingdom,Total Population,2018,66273.6
Afghanistan,Total Population,2019,38041.8
American Samoa,Total Population,2019,55.3
Armenia,Total Population,2019,2957.7
Azerbaijan,Total Population,2019,9981.5
Bangladesh,Total Population,2019,163046.2
Bhutan,Total Population,2019,763.1
Brunei Darussalam,Total Population,2019,433.3
Cambodia,Total Population,2019,16486.5
China,Total Population,2019,1398868.5
Fiji,Total Population,2019,890.0
French Polynesia,Total Population,2019,279.3
Guam,Total Population,2019,167.3
"Hong Kong, China",Total Population,2019,7507.4
India,Total Population,2019,1326619.2
Indonesia,Total Population,2019,270625.6
Japan,Total Population,2019,126167.0
Kazakhstan,Total Population,2019,18395.6
Kiribati,Total Population,2019,117.6
Kyrgyzstan,Total Population,2019,6415.9
Laos,Total Population,2019,7169.5
"Macau, China",Total Population,2019,640.4
Malaysia,Total Population,2019,32523.0
Maldives,Total Population,2019,531.0
Mongolia,Total Population,2019,3225.2
Myanmar,Total Population,2019,54045.4
Nauru,Total Population,2019,10.8
Nepal,Total Population,2019,28608.7
New Caledonia,Total Population,2019,282.8
North Korea,Total Population,2019,25666.2
Pakistan,Total Population,2019,216565.3
Papua New Guinea,Total Population,2019,8776.1
Philippines,Total Population,2019,108116.6
Samoa,Total Population,2019,197.1
Singapore,Total Population,2019,5703.6
Solomon Islands,Total Population,2019,669.8
South Korea,Total Population,2019,51709.1
Sri Lanka,Total Population,2019,21323.7
Taiwan,Total Population,2019,23588.9
Tajikistan,Total Population,2019,9321.0
Thailand,Total Population,2019,69625.6
Tonga,Total Population,2019,104.5
Turkmenistan,Total Population,2019,5942.1
Tuvalu,Total Population,2019,11.6
Uzbekistan,Total Population,2019,32981.7
Vanuatu,Total Population,2019,299.9
Vietnam,Total Population,2019,96484.0
Australia,Total Population,2019,25365.7
New Zealand,Total Population,2019,4941.2
Albania,Total Population,2019,2880.9
Belarus,Total Population,2019,9429.3
Bosnia and Herzegovina,Total Population,2019,3492.0
Bulgaria,Total Population,2019,7000.0
Croatia,Total Population,2019,4076.2
Czech Republic,Total Population,2019,10649.8
Estonia,Total Population,2019,1324.8
Georgia,Total Population,2019,3723.5
Hungary,Total Population,2019,9772.8
Kosovo,Total Population,2019,1805.1
Latvia,Total Population,2019,1920.0
Lithuania,Total Population,2019,2794.2
Moldova,Total Population,2019,4043.3
Montenegro,Total Population,2019,628.0
North Macedonia,Total Population,2019,2077.1
Poland,Total Population,2019,38411.1
Romania,Total Population,2019,19414.5
Russia,Total Population,2019,144425.7
Serbia,Total Population,2019,6963.8
Slovakia,Total Population,2019,5450.4
Slovenia,Total Population,2019,2080.9
Ukraine,Total Population,2019,41983.6
Anguilla,Total Population,2019,14.9
Antigua and Barbuda,Total Population,2019,97.1
Argentina,Total Population,2019,44539.7
Aruba,Total Population,2019,106.3
Bahamas,Total Population,2019,389.5
Barbados,Total Population,2019,287.0
Belize,Total Population,2019,390.4
Bermuda,Total Population,2019,62.5
Bolivia,Total Population,2019,11513.1
Brazil,Total Population,2019,210147.1
British Virgin Islands,Total Population,2019,30.0
Cayman Islands,Total Population,2019,64.9
Chile,Total Population,2019,18952.0
Colombia,Total Population,2019,50339.4
Costa Rica,Total Population,2019,5043.3
Cuba,Total Population,2019,11333.5
Curacao,Total Population,2019,163.4
Dominica,Total Population,2019,71.8
Dominican Republic,Total Population,2019,10739.0
Ecuador,Total Population,2019,17096.5
El Salvador,Total Population,2019,6453.6
French Guiana,Total Population,2019,290.8
Grenada,Total Population,2019,112.0
Guadeloupe,Total Population,2019,400.0
Guatemala,Total Population,2019,16991.0
Guyana,Total Population,2019,782.8
Haiti,Total Population,2019,11263.1
Honduras,Total Population,2019,9746.1
Jamaica,Total Population,2019,2948.3
Martinique,Total Population,2019,375.6
Mexico,Total Population,2019,125792.6
Nicaragua,Total Population,2019,6545.5
Panama,Total Population,2019,4246.4
Paraguay,Total Population,2019,7044.6
Peru,Total Population,2019,32510.5
Puerto Rico,Total Population,2019,2933.4
Sint Maarten,Total Population,2019,42.4
St Kitts and Nevis,Total Population,2019,52.8
St Lucia,Total Population,2019,182.8
St Vincent and the Grenadines,Total Population,2019,110.6
Suriname,Total Population,2019,581.4
Trinidad and Tobago,Total Population,2019,1395.0
Uruguay,Total Population,2019,3438.6
US Virgin Islands,Total Population,2019,104.6
Venezuela,Total Population,2019,28515.8
