,geography,category,data_type,unit,current_constant,year_nk,value
34,Solomon Islands,Total Population,Socio-economic indicators,0,-,2016,619.4
35,South Korea,Total Population,Socio-economic indicators,0,-,2016,51245.7
36,Sri Lanka,Total Population,Socio-economic indicators,0,-,2016,21021.2
37,Taiwan,Total Population,Socio-economic indicators,0,-,2016,23492.1
38,Tajikistan,Total Population,Socio-economic indicators,0,-,2016,8663.6
39,Thailand,Total Population,Socio-economic indicators,0,-,2016,68971.3
40,Tonga,Total Population,Socio-economic indicators,0,-,2016,101.1
41,Turkmenistan,Total Population,Socio-economic indicators,0,-,2016,5662.4
42,Tuvalu,Total Population,Socio-economic indicators,0,-,2016,11.2
43,Uzbekistan,Total Population,Socio-economic indicators,0,-,2016,31441.8
44,Vanuatu,Total Population,Socio-economic indicators,0,-,2016,278.3
45,Vietnam,Total Population,Socio-economic indicators,0,-,2016,93250.7
46,Australia,Total Population,Socio-economic indicators,0,-,2016,24190.9
47,New Zealand,Total Population,Socio-economic indicators,0,-,2016,4663.7
48,Albania,Total Population,Socio-economic indicators,0,-,2016,2886.4
49,Belarus,Total Population,Socio-economic indicators,0,-,2016,9469.1
50,Bosnia and Herzegovina,Total Population,Socio-economic indicators,0,-,2016,3516.0
51,Bulgaria,Total Population,Socio-economic indicators,0,-,2016,7153.8
52,Croatia,Total Population,Socio-economic indicators,0,-,2016,4190.7
53,Czech Republic,Total Population,Socio-economic indicators,0,-,2016,10553.8
54,Estonia,Total Population,Socio-economic indicators,0,-,2016,1315.9
55,Georgia,Total Population,Socio-economic indicators,0,-,2016,3728.6
56,Hungary,Total Population,Socio-economic indicators,0,-,2016,9830.5
57,Kosovo,Total Population,Socio-economic indicators,0,-,2016,1771.6
58,Latvia,Total Population,Socio-economic indicators,0,-,2016,1969.0
59,Lithuania,Total Population,Socio-economic indicators,0,-,2016,2888.6
60,Moldova,Total Population,Socio-economic indicators,0,-,2016,4066.0
61,Montenegro,Total Population,Socio-economic indicators,0,-,2016,627.3
62,North Macedonia,Total Population,Socio-economic indicators,0,-,2016,2071.3
63,Poland,Total Population,Socio-economic indicators,0,-,2016,38437.2
64,Romania,Total Population,Socio-economic indicators,0,-,2016,19760.6
65,Russia,Total Population,Socio-economic indicators,0,-,2016,144221.3
66,Serbia,Total Population,Socio-economic indicators,0,-,2016,7076.4
67,Slovakia,Total Population,Socio-economic indicators,0,-,2016,5426.3
68,Slovenia,Total Population,Socio-economic indicators,0,-,2016,2064.2
69,Ukraine,Total Population,Socio-economic indicators,0,-,2016,42590.9
70,Anguilla,Total Population,Socio-economic indicators,0,-,2016,14.4
71,Antigua and Barbuda,Total Population,Socio-economic indicators,0,-,2016,94.5
72,Argentina,Total Population,Socio-economic indicators,0,-,2016,43483.9
73,Aruba,Total Population,Socio-economic indicators,0,-,2016,104.9
74,Bahamas,Total Population,Socio-economic indicators,0,-,2016,377.9
75,Barbados,Total Population,Socio-economic indicators,0,-,2016,285.8
76,Belize,Total Population,Socio-economic indicators,0,-,2016,368.4
77,Bermuda,Total Population,Socio-economic indicators,0,-,2016,63.4
78,Bolivia,Total Population,Socio-economic indicators,0,-,2016,11031.8
79,Brazil,Total Population,Socio-economic indicators,0,-,2016,206081.4
80,British Virgin Islands,Total Population,Socio-economic indicators,0,-,2016,29.4
81,Cayman Islands,Total Population,Socio-economic indicators,0,-,2016,62.6
82,Chile,Total Population,Socio-economic indicators,0,-,2016,18209.1
83,Colombia,Total Population,Socio-economic indicators,0,-,2016,48175.0
84,Costa Rica,Total Population,Socio-economic indicators,0,-,2016,4886.8
85,Cuba,Total Population,Socio-economic indicators,0,-,2016,11335.1
86,Curacao,Total Population,Socio-economic indicators,0,-,2016,161.1
87,Dominica,Total Population,Socio-economic indicators,0,-,2016,71.3
88,Dominican Republic,Total Population,Socio-economic indicators,0,-,2016,10397.7
89,Ecuador,Total Population,Socio-economic indicators,0,-,2016,16364.8
90,El Salvador,Total Population,Socio-economic indicators,0,-,2016,6356.1
91,French Guiana,Total Population,Socio-economic indicators,0,-,2016,267.8
92,Grenada,Total Population,Socio-economic indicators,0,-,2016,110.3
93,Guadeloupe,Total Population,Socio-economic indicators,0,-,2016,399.8
94,Guatemala,Total Population,Socio-economic indicators,0,-,2016,16123.0
95,Guyana,Total Population,Socio-economic indicators,0,-,2016,771.4
96,Haiti,Total Population,Socio-economic indicators,0,-,2016,10840.0
97,Honduras,Total Population,Socio-economic indicators,0,-,2016,9270.8
98,Jamaica,Total Population,Socio-economic indicators,0,-,2016,2906.2
99,Martinique,Total Population,Socio-economic indicators,0,-,2016,376.8
100,Mexico,Total Population,Socio-economic indicators,0,-,2016,122273.5
101,Nicaragua,Total Population,Socio-economic indicators,0,-,2016,6304.0
102,Panama,Total Population,Socio-economic indicators,0,-,2016,4037.1
103,Paraguay,Total Population,Socio-economic indicators,0,-,2016,6777.9
104,Peru,Total Population,Socio-economic indicators,0,-,2016,30926.0
105,Puerto Rico,Total Population,Socio-economic indicators,0,-,2016,3283.1
106,Sint Maarten,Total Population,Socio-economic indicators,0,-,2016,40.8
107,St Kitts and Nevis,Total Population,Socio-economic indicators,0,-,2016,51.6
108,St Lucia,Total Population,Socio-economic indicators,0,-,2016,180.0
109,St Vincent and the Grenadines,Total Population,Socio-economic indicators,0,-,2016,109.5
110,Suriname,Total Population,Socio-economic indicators,0,-,2016,564.9
111,Trinidad and Tobago,Total Population,Socio-economic indicators,0,-,2016,1377.6
112,Uruguay,Total Population,Socio-economic indicators,0,-,2016,3422.6
113,US Virgin Islands,Total Population,Socio-economic indicators,0,-,2016,104.8
114,Venezuela,Total Population,Socio-economic indicators,0,-,2016,29851.2
115,Algeria,Total Population,Socio-economic indicators,0,-,2016,40551.4
116,Angola,Total Population,Socio-economic indicators,0,-,2016,28842.5
117,Bahrain,Total Population,Socio-economic indicators,0,-,2016,1423.7
118,Benin,Total Population,Socio-economic indicators,0,-,2016,10872.1
119,Botswana,Total Population,Socio-economic indicators,0,-,2016,2159.9
120,Burkina Faso,Total Population,Socio-economic indicators,0,-,2016,18646.4
121,Burundi,Total Population,Socio-economic indicators,0,-,2016,10488.0
122,Cabo Verde,Total Population,Socio-economic indicators,0,-,2016,531.1
123,Cameroon,Total Population,Socio-economic indicators,0,-,2016,23926.5
124,Central African Republic,Total Population,Socio-economic indicators,0,-,2016,4537.7
125,Chad,Total Population,Socio-economic indicators,0,-,2016,14561.7
126,Comoros,Total Population,Socio-economic indicators,0,-,2016,795.6
127,"Congo, Democratic Republic",Total Population,Socio-economic indicators,0,-,2016,78789.1
128,Congo-Brazzaville,Total Population,Socio-economic indicators,0,-,2016,4981.0
129,Côte d'Ivoire,Total Population,Socio-economic indicators,0,-,2016,23822.7
130,Djibouti,Total Population,Socio-economic indicators,0,-,2016,929.1
131,Egypt,Total Population,Socio-economic indicators,0,-,2016,91853.2
132,Equatorial Guinea,Total Population,Socio-economic indicators,0,-,2016,1215.2
133,Eritrea,Total Population,Socio-economic indicators,0,-,2016,3376.6
134,Eswatini,Total Population,Socio-economic indicators,0,-,2016,1114.0
135,Ethiopia,Total Population,Socio-economic indicators,0,-,2016,103603.5
136,Gabon,Total Population,Socio-economic indicators,0,-,2016,2007.9
137,Gambia,Total Population,Socio-economic indicators,0,-,2016,2149.1
138,Ghana,Total Population,Socio-economic indicators,0,-,2016,28481.9
139,Guinea,Total Population,Socio-economic indicators,0,-,2016,11738.4
140,Guinea-Bissau,Total Population,Socio-economic indicators,0,-,2016,1782.4
141,Iran,Total Population,Socio-economic indicators,0,-,2016,79710.4
142,Iraq,Total Population,Socio-economic indicators,0,-,2016,36610.6
143,Israel,Total Population,Socio-economic indicators,0,-,2016,8546.0
144,Jordan,Total Population,Socio-economic indicators,0,-,2016,9455.8
145,Kenya,Total Population,Socio-economic indicators,0,-,2016,49051.5
146,Kuwait,Total Population,Socio-economic indicators,0,-,2016,3925.5
147,Lebanon,Total Population,Socio-economic indicators,0,-,2016,6714.3
148,Lesotho,Total Population,Socio-economic indicators,0,-,2016,2075.0
149,Liberia,Total Population,Socio-economic indicators,0,-,2016,4586.8
150,Libya,Total Population,Socio-economic indicators,0,-,2016,6492.2
151,Madagascar,Total Population,Socio-economic indicators,0,-,2016,24894.4
152,Malawi,Total Population,Socio-economic indicators,0,-,2016,17205.3
153,Mali,Total Population,Socio-economic indicators,0,-,2016,17965.4
154,Mauritania,Total Population,Socio-economic indicators,0,-,2016,4163.5
155,Mauritius,Total Population,Socio-economic indicators,0,-,2016,1261.9
156,Morocco,Total Population,Socio-economic indicators,0,-,2016,35126.3
157,Mozambique,Total Population,Socio-economic indicators,0,-,2016,27829.9
158,Namibia,Total Population,Socio-economic indicators,0,-,2016,2358.0
159,Niger,Total Population,Socio-economic indicators,0,-,2016,20788.8
160,Nigeria,Total Population,Socio-economic indicators,0,-,2016,185960.2
161,Oman,Total Population,Socio-economic indicators,0,-,2016,4414.1
162,Qatar,Total Population,Socio-economic indicators,0,-,2016,2617.6
163,Réunion,Total Population,Socio-economic indicators,0,-,2016,869.7
164,Rwanda,Total Population,Socio-economic indicators,0,-,2016,11668.8
165,Sao Tomé e Príncipe,Total Population,Socio-economic indicators,0,-,2016,203.2
166,Saudi Arabia,Total Population,Socio-economic indicators,0,-,2016,32443.4
167,Senegal,Total Population,Socio-economic indicators,0,-,2016,14993.5
168,Seychelles,Total Population,Socio-economic indicators,0,-,2016,95.7
169,Sierra Leone,Total Population,Socio-economic indicators,0,-,2016,7328.8
170,Somalia,Total Population,Socio-economic indicators,0,-,2016,14185.6
171,South Africa,Total Population,Socio-economic indicators,0,-,2016,56207.6
172,South Sudan,Total Population,Socio-economic indicators,0,-,2016,10832.5
173,Sudan,Total Population,Socio-economic indicators,0,-,2016,39847.4
174,Syria,Total Population,Socio-economic indicators,0,-,2016,17465.6
175,Tanzania,Total Population,Socio-economic indicators,0,-,2016,53049.2
176,Togo,Total Population,Socio-economic indicators,0,-,2016,7510.0
177,Tunisia,Total Population,Socio-economic indicators,0,-,2016,11303.9
178,Uganda,Total Population,Socio-economic indicators,0,-,2016,39649.2
179,United Arab Emirates,Total Population,Socio-economic indicators,0,-,2016,9121.2
180,Yemen,Total Population,Socio-economic indicators,0,-,2016,27168.2
181,Zambia,Total Population,Socio-economic indicators,0,-,2016,16363.4
182,Zimbabwe,Total Population,Socio-economic indicators,0,-,2016,14030.3
183,Canada,Total Population,Socio-economic indicators,0,-,2016,36109.5
184,USA,Total Population,Socio-economic indicators,0,-,2016,324349.2
185,Andorra,Total Population,Socio-economic indicators,0,-,2016,77.3
186,Austria,Total Population,Socio-economic indicators,0,-,2016,8700.5
187,Belgium,Total Population,Socio-economic indicators,0,-,2016,11267.9
188,Cyprus,Total Population,Socio-economic indicators,0,-,2016,1170.2
189,Denmark,Total Population,Socio-economic indicators,0,-,2016,5707.3
190,Finland,Total Population,Socio-economic indicators,0,-,2016,5487.3
191,France,Total Population,Socio-economic indicators,0,-,2016,64468.8
192,Germany,Total Population,Socio-economic indicators,0,-,2016,82175.7
193,Gibraltar,Total Population,Socio-economic indicators,0,-,2016,33.7
194,Greece,Total Population,Socio-economic indicators,0,-,2016,10783.7
195,Iceland,Total Population,Socio-economic indicators,0,-,2016,332.2
196,Ireland,Total Population,Socio-economic indicators,0,-,2016,4726.3
197,Italy,Total Population,Socio-economic indicators,0,-,2016,60163.7
198,Liechtenstein,Total Population,Socio-economic indicators,0,-,2016,37.6
199,Luxembourg,Total Population,Socio-economic indicators,0,-,2016,579.3
200,Malta,Total Population,Socio-economic indicators,0,-,2016,436.1
201,Monaco,Total Population,Socio-economic indicators,0,-,2016,38.1
202,Netherlands,Total Population,Socio-economic indicators,0,-,2016,16979.1
203,Norway,Total Population,Socio-economic indicators,0,-,2016,5214.0
204,Portugal,Total Population,Socio-economic indicators,0,-,2016,10341.3
205,Spain,Total Population,Socio-economic indicators,0,-,2016,46440.1
206,Sweden,Total Population,Socio-economic indicators,0,-,2016,9851.0
207,Switzerland,Total Population,Socio-economic indicators,0,-,2016,8327.1
208,Turkey,Total Population,Socio-economic indicators,0,-,2016,78741.1
209,United Kingdom,Total Population,Socio-economic indicators,0,-,2016,65379.0
210,Afghanistan,Total Population,Socio-economic indicators,0,-,2017,36296.1
211,American Samoa,Total Population,Socio-economic indicators,0,-,2017,55.6
212,Armenia,Total Population,Socio-economic indicators,0,-,2017,2944.8
213,Azerbaijan,Total Population,Socio-economic indicators,0,-,2017,9810.0
214,Bangladesh,Total Population,Socio-economic indicators,0,-,2017,159685.4
215,Bhutan,Total Population,Socio-economic indicators,0,-,2017,745.6
216,Brunei Darussalam,Total Population,Socio-economic indicators,0,-,2017,424.5
217,Cambodia,Total Population,Socio-economic indicators,0,-,2017,16009.4
218,China,Total Population,Socio-economic indicators,0,-,2017,1382710.0
219,Fiji,Total Population,Socio-economic indicators,0,-,2017,877.5
220,French Polynesia,Total Population,Socio-economic indicators,0,-,2017,276.1
221,Guam,Total Population,Socio-economic indicators,0,-,2017,164.3
222,"Hong Kong, China",Total Population,Socio-economic indicators,0,-,2017,7391.7
223,India,Total Population,Socio-economic indicators,0,-,2017,1299686.2
224,Indonesia,Total Population,Socio-economic indicators,0,-,2017,264651.0
225,Japan,Total Population,Socio-economic indicators,0,-,2017,126706.0
226,Kazakhstan,Total Population,Socio-economic indicators,0,-,2017,17918.2
227,Kiribati,Total Population,Socio-economic indicators,0,-,2017,114.2
228,Kyrgyzstan,Total Population,Socio-economic indicators,0,-,2017,6189.7
229,Laos,Total Population,Socio-economic indicators,0,-,2017,6953.0
230,"Macau, China",Total Population,Socio-economic indicators,0,-,2017,622.6
231,Malaysia,Total Population,Socio-economic indicators,0,-,2017,32022.6
232,Maldives,Total Population,Socio-economic indicators,0,-,2017,496.4
233,Mongolia,Total Population,Socio-economic indicators,0,-,2017,3113.8
234,Myanmar,Total Population,Socio-economic indicators,0,-,2017,53382.5
235,Nauru,Total Population,Socio-economic indicators,0,-,2017,10.6
236,Nepal,Total Population,Socio-economic indicators,0,-,2017,27632.7
237,New Caledonia,Total Population,Socio-economic indicators,0,-,2017,277.2
238,North Korea,Total Population,Socio-economic indicators,0,-,2017,25429.8
239,Pakistan,Total Population,Socio-economic indicators,0,-,2017,207906.2
240,Papua New Guinea,Total Population,Socio-economic indicators,0,-,2017,8438.0
241,Philippines,Total Population,Socio-economic indicators,0,-,2017,105172.9
242,Samoa,Total Population,Socio-economic indicators,0,-,2017,195.4
243,Singapore,Total Population,Socio-economic indicators,0,-,2017,5612.3
244,Solomon Islands,Total Population,Socio-economic indicators,0,-,2017,636.0
245,South Korea,Total Population,Socio-economic indicators,0,-,2017,51446.2
246,Sri Lanka,Total Population,Socio-economic indicators,0,-,2017,21128.0
247,Taiwan,Total Population,Socio-economic indicators,0,-,2017,23539.8
248,Tajikistan,Total Population,Socio-economic indicators,0,-,2017,8880.3
249,Thailand,Total Population,Socio-economic indicators,0,-,2017,69209.8
250,Tonga,Total Population,Socio-economic indicators,0,-,2017,102.0
251,Turkmenistan,Total Population,Socio-economic indicators,0,-,2017,5757.7
252,Tuvalu,Total Population,Socio-economic indicators,0,-,2017,11.4
253,Uzbekistan,Total Population,Socio-economic indicators,0,-,2017,31959.8
254,Vanuatu,Total Population,Socio-economic indicators,0,-,2017,285.5
255,Vietnam,Total Population,Socio-economic indicators,0,-,2017,94286.0
256,Australia,Total Population,Socio-economic indicators,0,-,2017,24601.9
257,New Zealand,Total Population,Socio-economic indicators,0,-,2017,4767.6
258,Albania,Total Population,Socio-economic indicators,0,-,2017,2884.2
259,Belarus,Total Population,Socio-economic indicators,0,-,2017,9469.7
260,Bosnia and Herzegovina,Total Population,Socio-economic indicators,0,-,2017,3509.7
261,Bulgaria,Total Population,Socio-economic indicators,0,-,2017,7101.9
262,Croatia,Total Population,Socio-economic indicators,0,-,2017,4154.2
263,Czech Republic,Total Population,Socio-economic indicators,0,-,2017,10578.8
264,Estonia,Total Population,Socio-economic indicators,0,-,2017,1315.6
265,Georgia,Total Population,Socio-economic indicators,0,-,2017,3726.4
266,Hungary,Total Population,Socio-economic indicators,0,-,2017,9797.6
267,Kosovo,Total Population,Socio-economic indicators,0,-,2017,1783.5
268,Latvia,Total Population,Socio-economic indicators,0,-,2017,1950.1
269,Lithuania,Total Population,Socio-economic indicators,0,-,2017,2847.9
270,Moldova,Total Population,Socio-economic indicators,0,-,2017,4059.7
271,Montenegro,Total Population,Socio-economic indicators,0,-,2017,627.6
272,North Macedonia,Total Population,Socio-economic indicators,0,-,2017,2073.7
273,Poland,Total Population,Socio-economic indicators,0,-,2017,38433.0
274,Romania,Total Population,Socio-economic indicators,0,-,2017,19643.9
275,Russia,Total Population,Socio-economic indicators,0,-,2017,144463.5
276,Serbia,Total Population,Socio-economic indicators,0,-,2017,7040.3
277,Slovakia,Total Population,Socio-economic indicators,0,-,2017,5435.3
278,Slovenia,Total Population,Socio-economic indicators,0,-,2017,2065.9
279,Ukraine,Total Population,Socio-economic indicators,0,-,2017,42414.9
280,Anguilla,Total Population,Socio-economic indicators,0,-,2017,14.6
281,Antigua and Barbuda,Total Population,Socio-economic indicators,0,-,2017,95.4
282,Argentina,Total Population,Socio-economic indicators,0,-,2017,43858.8
283,Aruba,Total Population,Socio-economic indicators,0,-,2017,105.4
284,Bahamas,Total Population,Socio-economic indicators,0,-,2017,381.7
285,Barbados,Total Population,Socio-economic indicators,0,-,2017,286.2
286,Belize,Total Population,Socio-economic indicators,0,-,2017,375.8
287,Bermuda,Total Population,Socio-economic indicators,0,-,2017,63.0
288,Bolivia,Total Population,Socio-economic indicators,0,-,2017,11192.9
289,Brazil,Total Population,Socio-economic indicators,0,-,2017,207660.9
290,British Virgin Islands,Total Population,Socio-economic indicators,0,-,2017,29.6
291,Cayman Islands,Total Population,Socio-economic indicators,0,-,2017,63.4
292,Chile,Total Population,Socio-economic indicators,0,-,2017,18470.4
293,Colombia,Total Population,Socio-economic indicators,0,-,2017,48909.8
294,Costa Rica,Total Population,Socio-economic indicators,0,-,2017,4940.4
295,Cuba,Total Population,Socio-economic indicators,0,-,2017,11339.3
296,Curacao,Total Population,Socio-economic indicators,0,-,2017,162.0
297,Dominica,Total Population,Socio-economic indicators,0,-,2017,71.5
298,Dominican Republic,Total Population,Socio-economic indicators,0,-,2017,10513.1
299,Ecuador,Total Population,Socio-economic indicators,0,-,2017,16604.9
300,El Salvador,Total Population,Socio-economic indicators,0,-,2017,6388.1
301,French Guiana,Total Population,Socio-economic indicators,0,-,2017,275.2
302,Grenada,Total Population,Socio-economic indicators,0,-,2017,110.9
303,Guadeloupe,Total Population,Socio-economic indicators,0,-,2017,399.7
304,Guatemala,Total Population,Socio-economic indicators,0,-,2017,16418.1
305,Guyana,Total Population,Socio-economic indicators,0,-,2017,775.2
306,Haiti,Total Population,Socio-economic indicators,0,-,2017,10982.4
307,Honduras,Total Population,Socio-economic indicators,0,-,2017,9429.0
308,Jamaica,Total Population,Socio-economic indicators,0,-,2017,2920.8
309,Martinique,Total Population,Socio-economic indicators,0,-,2017,375.9
310,Mexico,Total Population,Socio-economic indicators,0,-,2017,123518.3
311,Nicaragua,Total Population,Socio-economic indicators,0,-,2017,6384.8
312,Panama,Total Population,Socio-economic indicators,0,-,2017,4106.8
313,Paraguay,Total Population,Socio-economic indicators,0,-,2017,6867.1
314,Peru,Total Population,Socio-economic indicators,0,-,2017,31444.3
315,Puerto Rico,Total Population,Socio-economic indicators,0,-,2017,3163.7
316,Sint Maarten,Total Population,Socio-economic indicators,0,-,2017,41.4
317,St Kitts and Nevis,Total Population,Socio-economic indicators,0,-,2017,52.0
318,St Lucia,Total Population,Socio-economic indicators,0,-,2017,181.0
319,St Vincent and the Grenadines,Total Population,Socio-economic indicators,0,-,2017,109.8
320,Suriname,Total Population,Socio-economic indicators,0,-,2017,570.5
321,Trinidad and Tobago,Total Population,Socio-economic indicators,0,-,2017,1384.1
322,Uruguay,Total Population,Socio-economic indicators,0,-,2017,3430.7
323,US Virgin Islands,Total Population,Socio-economic indicators,0,-,2017,104.7
324,Venezuela,Total Population,Socio-economic indicators,0,-,2017,29402.5
325,Algeria,Total Population,Socio-economic indicators,0,-,2017,41389.2
326,Angola,Total Population,Socio-economic indicators,0,-,2017,29816.8
327,Bahrain,Total Population,Socio-economic indicators,0,-,2017,1501.1
328,Benin,Total Population,Socio-economic indicators,0,-,2017,11175.2
329,Botswana,Total Population,Socio-economic indicators,0,-,2017,2205.1
330,Burkina Faso,Total Population,Socio-economic indicators,0,-,2017,19193.2
331,Burundi,Total Population,Socio-economic indicators,0,-,2017,10827.0
332,Cabo Verde,Total Population,Socio-economic indicators,0,-,2017,537.5
333,Cameroon,Total Population,Socio-economic indicators,0,-,2017,24566.1
334,Central African Republic,Total Population,Socio-economic indicators,0,-,2017,4596.0
335,Chad,Total Population,Socio-economic indicators,0,-,2017,15016.8
336,Comoros,Total Population,Socio-economic indicators,0,-,2017,813.9
337,"Congo, Democratic Republic",Total Population,Socio-economic indicators,0,-,2017,81398.8
338,Congo-Brazzaville,Total Population,Socio-economic indicators,0,-,2017,5110.7
339,Côte d'Ivoire,Total Population,Socio-economic indicators,0,-,2017,24437.5
340,Djibouti,Total Population,Socio-economic indicators,0,-,2017,944.1
341,Egypt,Total Population,Socio-economic indicators,0,-,2017,94143.0
342,Equatorial Guinea,Total Population,Socio-economic indicators,0,-,2017,1262.0
343,Eritrea,Total Population,Socio-economic indicators,0,-,2017,3412.9
344,Eswatini,Total Population,Socio-economic indicators,0,-,2017,1124.8
345,Ethiopia,Total Population,Socio-economic indicators,0,-,2017,106399.9
346,Gabon,Total Population,Socio-economic indicators,0,-,2017,2064.8
347,Gambia,Total Population,Socio-economic indicators,0,-,2017,2213.9
348,Ghana,Total Population,Socio-economic indicators,0,-,2017,29121.5
349,Guinea,Total Population,Socio-economic indicators,0,-,2017,12067.5
350,Guinea-Bissau,Total Population,Socio-economic indicators,0,-,2017,1828.1
351,Iran,Total Population,Socio-economic indicators,0,-,2017,80793.7
352,Iraq,Total Population,Socio-economic indicators,0,-,2017,37552.8
353,Israel,Total Population,Socio-economic indicators,0,-,2017,8713.3
354,Jordan,Total Population,Socio-economic indicators,0,-,2017,9702.4
355,Kenya,Total Population,Socio-economic indicators,0,-,2017,50221.1
356,Kuwait,Total Population,Socio-economic indicators,0,-,2017,4082.7
357,Lebanon,Total Population,Socio-economic indicators,0,-,2017,6819.4
358,Lesotho,Total Population,Socio-economic indicators,0,-,2017,2091.5
359,Liberia,Total Population,Socio-economic indicators,0,-,2017,4702.2
360,Libya,Total Population,Socio-economic indicators,0,-,2017,6580.7
361,Madagascar,Total Population,Socio-economic indicators,0,-,2017,25570.5
362,Malawi,Total Population,Socio-economic indicators,0,-,2017,17670.2
363,Mali,Total Population,Socio-economic indicators,0,-,2017,18512.4
364,Mauritania,Total Population,Socio-economic indicators,0,-,2017,4282.6
365,Mauritius,Total Population,Socio-economic indicators,0,-,2017,1264.5
366,Morocco,Total Population,Socio-economic indicators,0,-,2017,35581.3
367,Mozambique,Total Population,Socio-economic indicators,0,-,2017,28649.0
368,Namibia,Total Population,Socio-economic indicators,0,-,2017,2402.6
369,Niger,Total Population,Socio-economic indicators,0,-,2017,21602.4
370,Nigeria,Total Population,Socio-economic indicators,0,-,2017,190873.2
371,Oman,Total Population,Socio-economic indicators,0,-,2017,4560.0
372,Qatar,Total Population,Socio-economic indicators,0,-,2017,2724.6
373,Réunion,Total Population,Socio-economic indicators,0,-,2017,876.1
374,Rwanda,Total Population,Socio-economic indicators,0,-,2017,11981.0
375,Sao Tomé e Príncipe,Total Population,Socio-economic indicators,0,-,2017,207.1
376,Saudi Arabia,Total Population,Socio-economic indicators,0,-,2017,33101.2
377,Senegal,Total Population,Socio-economic indicators,0,-,2017,15419.4
378,Seychelles,Total Population,Socio-economic indicators,0,-,2017,96.4
379,Sierra Leone,Total Population,Socio-economic indicators,0,-,2017,7488.4
380,Somalia,Total Population,Socio-economic indicators,0,-,2017,14589.2
381,South Africa,Total Population,Socio-economic indicators,0,-,2017,57009.8
382,South Sudan,Total Population,Socio-economic indicators,0,-,2017,10910.8
383,Sudan,Total Population,Socio-economic indicators,0,-,2017,40813.4
384,Syria,Total Population,Socio-economic indicators,0,-,2017,17095.7
385,Tanzania,Total Population,Socio-economic indicators,0,-,2017,54660.3
386,Togo,Total Population,Socio-economic indicators,0,-,2017,7698.5
387,Tunisia,Total Population,Socio-economic indicators,0,-,2017,11433.4
388,Uganda,Total Population,Socio-economic indicators,0,-,2017,41166.6
389,United Arab Emirates,Total Population,Socio-economic indicators,0,-,2017,9304.3
390,Yemen,Total Population,Socio-economic indicators,0,-,2017,27834.8
391,Zambia,Total Population,Socio-economic indicators,0,-,2017,16853.6
392,Zimbabwe,Total Population,Socio-economic indicators,0,-,2017,14236.6
393,Canada,Total Population,Socio-economic indicators,0,-,2017,36545.3
394,USA,Total Population,Socio-economic indicators,0,-,2017,326570.9
395,Andorra,Total Population,Socio-economic indicators,0,-,2017,77.0
396,Austria,Total Population,Socio-economic indicators,0,-,2017,8772.9
397,Belgium,Total Population,Socio-economic indicators,0,-,2017,11322.1
398,Cyprus,Total Population,Socio-economic indicators,0,-,2017,1179.7
399,Denmark,Total Population,Socio-economic indicators,0,-,2017,5748.8
400,Finland,Total Population,Socio-economic indicators,0,-,2017,5503.3
